6.93,62.14
14.22,68.85
21.12,70.88
27.72,71.93
34.14,72.87
40.33,74.19
46.49,75.45
52.49,76.78
58.58,78.00
64.51,79.11
70.31,80.19
75.62,81.16
81.34,82.68
87.03,83.75
92.67,84.94
98.25,85.94
103.81,86.84
109.47,88.12
115.00,89.39
120.57,90.76
126.15,92.37
132.02,97.00
137.97,97.99
143.91,97.97
149.90,97.98
155.92,97.99
162.13,98.03
168.30,98.02
174.39,98.04
180.49,98.03
186.67,98.02
192.98,98.09
199.08,98.07
205.14,98.08
211.19,98.06
217.07,98.09
222.82,98.05
228.58,98.06
234.44,97.99
240.32,98.03
246.15,98.02
252.02,98.05
258.08,98.11
264.05,98.10
270.06,98.11
276.18,98.12
282.22,98.12
288.28,98.11
294.32,98.11
300.54,98.09
306.51,98.08
312.48,98.11
318.48,98.07
324.56,98.07
330.54,98.06
336.49,98.07
342.75,98.09
348.85,98.10
354.90,98.00
361.08,97.98
367.28,97.95
373.46,97.91
379.66,97.89
386.08,97.93
392.50,97.97
398.97,98.00
405.51,98.02
412.26,97.99
418.90,98.00
425.53,97.95
432.29,97.86
438.93,97.81
445.47,97.77
451.91,97.71
458.49,97.72
464.85,97.73
471.20,97.75
477.61,97.75
484.18,97.63
490.74,97.52
497.33,97.49
